Código CIUO-08;Título SP;Descripción;Tareas;Observaciones;Ocupaciones
1349;Directores y gerentes de servicios profesionales no clasificados bajo otros epígrafes;"Este grupo primario abarca a los directores de departamentos de producción y operaciones no clasificados separadamente en el subgrupo 122: Directores de departamentos de producción y operaciones

Por ejemplo, habrá que clasificar en este grupo primario a los que, en una empresa, planifican, dirigen y coordinan las actividades relacionadas con operaciones de la administración pública y otras operaciones, servicios de enseñanza pública o privada, servicios de sanidad y de asistencia social, manifestaciones y servicios recreativos, culturales y deportivos, y las actividades de instituciones y organismos extraterritoriales";"a) planificar, dirigir y coordinar operaciones relacionadas con el servicio público, por ejemplo, sistemas de atribución de créditos o sistemas impositivos, aplicación de la reglamentación oficial en materia comercial así como la administración del servicio público y otras actividades similares;

b) planificar, dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los asuntos exteriores, el orden público y la seguridad;

c) planificar, dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los sistemas de seguridad social financiados por fondos del erario público;

d) planificar, dirigir y coordinar actividades de la enseñanza pública o privada;

e) planificar, dirigir y coordinar actividades relacionadas con los servicios de sanidad y de asistencia social;

f) planificar, dirigir y coordinar actividades relacionadas con manifestaciones y servicios recreativos, culturales y deportivos;

g) planificar, dirigir y coordinar actividades relacionadas con las operaciones de instituciones y organismos extraterritoriales;

h) desempeñar tareas afines;

i) supervisar a otros trabajadores";;"Decano

Director de departamento, producción y operaciones/actividades recreativas

Director de departamento, producción y operaciones/instituciones extraterritoriales

Director de departamento, producción y operaciones/servicios de sanidad

Director de estudios, escuela
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/servicios de sanidad - 1210

Director general, organización/instituciones extraterritoriales - 1210

Gerente, actividades recreativas - 1319

Gerente, establecimiento de enseñanza - 1319"
14;Gerentes de hoteles, restaurantes, comercios y otros servicios;;;;
141;Gerentes de hoteles y restaurantes;;;;
1411;Gerentes de hoteles;Los directores de departamentos de producción y operaciones de restauración y hostelería planifican, dirigen y coordinan las actividades de servicio de hostelería, restauración y demás de la empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar dirigir y coordinar las actividades de servicio de la hostelería, la restauración y otros servicios conexos;

b) asegurar la utilización racional de los recursos y el cumplimiento de los programas;

c) planificar y dirigir el trabajo diario;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines: j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/hostelería

Director de departamento, producción y operaciones/restauración
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/hostelería 1210

Gerente, restauración - 1315"
1412;Gerentes de restaurantes;Los directores de departamentos de producción y operaciones de restauración y hostelería planifican, dirigen y coordinan las actividades de servicio de hostelería, restauración y demás de la empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar dirigir y coordinar las actividades de servicio de la hostelería, la restauración y otros servicios conexos;

b) asegurar la utilización racional de los recursos y el cumplimiento de los programas;

c) planificar y dirigir el trabajo diario;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines: j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/hostelería

Director de departamento, producción y operaciones/restauración
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/hostelería 1210

Gerente, restauración - 1315"
142;Gerentes de comercios al por mayor y al por menor;;;;
1420;Gerentes de comercios al por mayor y al por menor;Los directores de departamentos de producción y operaciones de empresas de comercio mayorista y minorista planifican, dirigen y coordinan las actividades comerciales de la empresa bajo la conducción general de los directores responsables y en consulta con los directores de otros departamentos o servicios.;"a) planificar, dirigir y coordinar las actividades comerciales de la empresa;

b) asegurar la utilización racional de los recursos y el cumplimiento de las normas aplicables al volumen de las operaciones;

c) planificar y dirigir las operaciones comerciales diarias;

d) vigilar los gastos;

e) establecer y dirigir los procedimientos operativos y administrativos;

f) vigilar el cumplimiento de las normas de seguridad en el trabajo y los procedimientos conexos;

g) controlar la selección, formación y rendimiento del personal;

h) representar al departamento en sus relaciones de trabajo con otros depar- tamentos de la empresa o con terceros;

i) desempeñar tareas afines;

j) supervisar a otros trabajadores.";;"Director de departamento, producción y operaciones/comercio mayorista

Director de departamento, producción y operaciones/comercio minorista
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/comercio mayorista - 1210

Gerente, comercio minorista - 1314
   "
143;Otros gerentes de servicios;;;;
1439;Gerentes de servicios no clasificados bajo otros epígrafes;"Este grupo primario abarca a los directores de departamentos de producción y operaciones no clasificados separadamente en el subgrupo 122: Directores de departamentos de producción y operaciones

Por ejemplo, habrá que clasificar en este grupo primario a los que, en una empresa, planifican, dirigen y coordinan las actividades relacionadas con operaciones de la administración pública y otras operaciones, servicios de enseñanza pública o privada, servicios de sanidad y de asistencia social, manifestaciones y servicios recreativos, culturales y deportivos, y las actividades de instituciones y organismos extraterritoriales";"a) planificar, dirigir y coordinar operaciones relacionadas con el servicio público, por ejemplo, sistemas de atribución de créditos o sistemas impositivos, aplicación de la reglamentación oficial en materia comercial así como la administración del servicio público y otras actividades similares;

b) planificar, dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los asuntos exteriores, el orden público y la seguridad;

c) planificar, dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los sistemas de seguridad social financiados por fondos del erario público;

d) planificar, dirigir y coordinar actividades de la enseñanza pública o privada;

e) planificar, dirigir y coordinar actividades relacionadas con los servicios de sanidad y de asistencia social;

f) planificar, dirigir y coordinar actividades relacionadas con manifestaciones y servicios recreativos, culturales y deportivos;

g) planificar, dirigir y coordinar actividades relacionadas con las operaciones de instituciones y organismos extraterritoriales;

h) desempeñar tareas afines;

i) supervisar a otros trabajadores";;"Decano

Director de departamento, producción y operaciones/actividades recreativas

Director de departamento, producción y operaciones/instituciones extraterritoriales

Director de departamento, producción y operaciones/servicios de sanidad

Director de estudios, escuela
Entre las ocupaciones afines, clasificadas en otra parte, figuran las siguientes:

Director general, empresa/servicios de sanidad - 1210

Director general, organización/instituciones extraterritoriales - 1210

Gerente, actividades recreativas - 1319

Gerente, establecimiento de enseñanza - 1319"
2;Profesionales científicos e intelectuales;"Los profesionales científicos e intelectuales se dedican a una de las tres actividades siguientes o a cualquier combinación de éstas: ampliar el acervo de conocimientos científicos o intelectuales; aplicar conceptos, teorías, métodos o técnicas científicos o artísticos, o enseñar sistemáticamente lo que saben en sus respectivos campos. La mayoría de las ocupaciones de este gran grupo requieren competencias de cuarto grado, tal como las define la CIUO.";"Las tareas desempeñadas por lo común por los profesionales científicos e Intelectuales incluyen las siguientes: análisis e investigación; formulación y desarrollo de conceptos, teorías y métodos, y asesoramiento o aplicación de los conocimientos en materia de ciencias exactas, incluidas las matemáticas, la arquitectura, la ingeniería y la tecnología; en materia de ciencias biológicas y disciplinas conexas, incluida la medicina, y en materia de ciencias sociales, humanidades, artes y religión; la enseñanza, a distintos niveles educativos, de la teoría y la práctica de una o más disciplinas o de un programa especial (como el que exija la instrucción de personas disminuidas física o mentalmente); la prestación de servicios jurídicos, sociales, económicos y comerciales, inclusive los vinculados con la gestión de empresas; la creación y ejecución de obras literarias y artísticas; la dirección y orientación espirituales, y la preparación de ponencias, informes y libros de carácter académico, científico o cultural. Además, pueden incluir la supervisión de otros trabajadores.";Cabe hacer observar que, habida cuenta de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y las exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este gran grupo en el gran grupo 3: Técnicos y profesionales de nivel medio. Tales casos pueden darse especialmente entre las ocupaciones relativas a la enseñanza, la enfermería y partería y el trabajo social.;
21;Profesionales de las ciencias y de la ingeniería;Los profesionales de las ciencias físicas, químicas y matemáticas y de la ingeniería o bien investigan, perfeccionan o desarrollan conceptos, teorías y métodos o bien aplican los conocimientos científicos en materia de física, astronomía, meteorología, química, geología, geofísica, matemáticas, estadística, informática, arquitectura, ingeniería y tecnología en sus distintas ramas u otras ramas o campos conexos.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: investigar, ampliar, aplicar o asesorar sobre los conocimientos científicos adquiridos mediante el estudio de las estructuras y propiedades de la materia y los fenómenos físicos, de las características y procesos químicos de diversas sustancias, materiales y productos y de conceptos y métodos matemáticos, estadísticos e informáticos, proyectar y dirigir la construcción de edificios, obras públicas, ciudades y sistemas de tránsito y de estructuras, instalaciones, máquinas y equipos industriales, incluidos los de la minería, así como las operaciones en distintas ramas de la ingeniería y de la informática; asesorar en estos aspectos y respecto de los procesos y métodos de extracción y producción y asegurar resultados óptimos; estudiar la tecnología de determinados materiales, productos y procesos y la eficiencia de la producción y de la organización del trabajo y asesorar al respecto; explorar tierras y mares y trazar planos, cartas y mapas, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
211;Físicos, químicos y afines;"
Los físicos, químicos y afines investigan, perfeccionan o desarrollan teorías, conceptos y métodos o aplican los conocimientos científicos en materia de física, astronomía, meteorología, química, geología y geofísica.";Las tareas desempeñadas por lo común incluyen ras siguientes: ampliar los conocimientos científicos mediante la investigación y la experimentación relativas a la mecánica, la termodinámica, la óptica, la acústica, la electricidad, el magnetismo, la electrónica, la física nuclear, la astronomía, diversas ramas de la química, las condiciones atmosféricas o la corteza terrestre, y aplicar tales conocimientos o asesorar sobre ellos en esferas como la Ingeniería, la industria manufacturera, la agricultura, la medicina, la navegación aérea y marítima, la exploración espacial, la explotación de petróleo y gas natural y de otros recursos minerales e hídricos, las telecomunicaciones y otros servicios. También preparan ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.;;
2111;Físicos y astrónomos;Los físicos, químicos y afines investigan, perfeccionan o desarrollan teorías, conceptos y métodos o aplican los conocimientos científicos en materia de física, astronomía, meteorología, química, geología y geofísica.;;;
2112;Meteorólogos;Los meteorólogos investigan, perfeccionan o desarrollan conceptos, teorías y métodos relativos a la composición, estructura y dinámica atmosféricas y preparan pronósticos del tiempo detallados o a largo plazo para su uso en la navegación aérea y marítima, la agricultura y otros campos, y para la información del público en general.;"a) realizar investigaciones y perfeccionar o desarrollar los conceptos, teorías y métodos sobre la composición, estructura y dinámica de la atmósfera;

b) investigar la dirección y velocidad de las masas de aire, las presiones, temperaturas, grado de humedad y otros fenómenos, como formación de nubes y precipitaciones, perturbaciones eléctricas o radiación solar;

c) analizar los datos obtenidos de estaciones meteorológicas, trazar cartas y preparar pronósticos a corto o a largo plazo para su uso en la navegación aérea y marítima, la agricultura y otras ramas y para la información del público en general;

d) realizar experimentos de dispersión de niebla, lluvia artificial y otros sistemas para modificar las condiciones meteorológicas;

e) preparar ponencias e informes científicos;

f) desempeñar tareas afines;

g) supervisar a otros trabajadores.";;"Climatólogo

Meteorólogo

Meteorólogo, previsión del tiempo"
2113;Químicos;Los químicos investigan, perfeccionan o desarrollan conceptos, teorías y metodologías o aplican los conocimientos científicos en materia de química, principalmente con la finalidad de ensayar, idear y perfeccionar materiales, productos y procesos industriales.;"a) realizar investigaciones y perfeccionar o desarrollar los conceptos, teorías y métodos de la química;

b) efectuar experimentos, ensayos y análisis para investigar la composición química, la energía y las transformaciones químicas de diversas sustancias, materiales y productos naturales, artificiales o sintéticos;

c) evaluar los resultados de investigaciones y experimentos y extraer conclusiones;

d) idear o perfeccionar materiales, productos y procesos farmacéuticos e industriales;

e) elaborar procedimientos de control de calidad para fabricantes o usuarios;

f) preparar ponencias e informes científicos;

g) desempeñar tareas afines;

h) supervisar a otros trabajadores.";;"Químico

Químico, farmacia

Bioquímico - 2212

Farmacéutico - 2224

Farmacólogo - 2212"
2114;Geólogos y geofísicos;Los geólogos y geofísicos investigan, perfeccionan o desarrollan conceptos, teorías y métodos o aplican los conocimientos científicos en materia de geología y geofísica en campos como la explotación de petróleo, gases y otros minerales, la conservación de recursos hídricos, la ingeniería en distintas ramas, las telecomunicaciones y la navegación.;"a) realizar investigaciones y perfeccionar los conceptos, teorías y métodos de la geología y la geofísica;

b) estudiar la composición y estructura de la corteza terrestre, analizando rocas, minerales, restos fósiles y otros elementos, con el fin de descubrir los procesos que han determinado la evolución de la tierra y la vida terrestre y establecer la naturaleza y cronología de las formaciones geológicas;

c) interpretar los resultados de las investigaciones y preparar informes, mapas, cartas y diagramas geológicos;

d) aplicar los resultados de las investigaciones para evaluar las posibilidades de explotación de yacimientos de petróleo, gas y otros minerales y de recursos hídricos subterráneos;

e) aplicar conocimientos geológicos en la solución de problemas planteados en obras de ingeniería como la construcción de embalses, puentes, túneles y grandes edificios o la minería;

f) estudiar y medir las fuerzas sísmicas, gravitatorias, eléctricas, térmicas y magnéticas que afectan a la tierra;

g) estudiar y medir fenómenos ópticos y acústicos de la atmósfera;

h) estimar el peso, tamaño y volumen de la tierra y su composición y estructura internas y estudiar la naturaleza y actividad de los volcanes, glaciares y terremotos;

i) trazar cartas del campo magnético terrestre y aplicarlas, junto con otros datos, a fines de radiodifusión y de navegación; estudiar y medir las propiedades físicas de los mares y de la atmósfera y sus interrelaciones, como en el caso del intercambio de energía térmica;

k) localizar y determinar la naturaleza y extensión de yacimientos de petróleo, de gas y de otros minerales y de recursos hídricos subterráneos utilizando métodos sismológicos, gravimétricos, magnéticos, eléctricos o radiométricos;

l) preparar ponencias e informes científicos;

m) desempeñar tareas afines;

n) supervisar a otros trabajadores.";;"Geofísico

Geólogo"
212;Matemáticos, actuarios y estadísticos;Los matemáticos, estadísticos y afines investigan, perfeccionan o desarrollan conceptos, teorías, métodos y técnicas matemáticos, actuariales y estadísticos y los aplican a una amplia gama de tareas en esferas como la ingeniería, la medicina, la agricultura, la industria y el comercio y otros campos de las ciencias exactas, biológicas o sociales.;"Las tareas desempeñadas por lo común incluyen las siguientes: realizar investigaciones en el ámbito de las matemáticas fundamentales y aplicar los principios y técnicas matemáticos, actuariales y estadísticos o asesorar al respecto; desempeñar funciones actuariales, inclusive en calidad de consejero actuario, en el establecimiento de regímenes y cajas de seguro y pensiones; planificar y preparar censos y encuestas y recopilar datos estadísticos; evaluar, organizar, ordenar, ajustar e interpretar datos estadísticos, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
2120;Matemáticos, actuarios y estadísticos;Los matemáticos y afines investigan, perfeccionan o desarrollan conceptos, teorías y métodos matemáticos y actuariales y trabajan en su aplicación práctica o en el asesoramiento pertinente en la medicina, la agricultura, la industria y el comercio y otros campos científicos y técnicos.;"a) realizar investigaciones y perfeccionar o desarrollar las teorías y técnicas matemáticas y actuariales;

b) aplicar principios, modelos y técnicas matemáticos y estadísticos en una amplia gama de tareas en campos y disciplinas como la ingeniería, la agro- nomía y la medicina y en otras esferas de las ciencias exactas, biológicas, naturales, jurídicas o sociales, y asesorar sobre tales aplicaciones;

c) analizar lógicamente diversos problemas de gestión, sobre todo los relativos a modelos eficientes de insumo-producto, y formular modelos matemáticos acerca de cada problema, generalmente para su programación y tratamiento informáticos;

d) idear, planificar y organizar regímenes de pensiones y seguros de vida, enfermedad, previsión social y de otra índole;

e) preparar ponencias e informes de carácter académico o científico;

f) desempeñar tareas afines;

g) supervisar a otros trabajadores.";;"Actuario

Matemático-analista, investigación operativa

Matemático, matemática aplicada

Matemático, matemática pura

Actuario auxiliar - 3434

Empleado, actuarial - 4122

Estadístico-matemático - 2122

Matemático auxiliar - 3434"
214;Ingenieros (excluyendo electrotecnólogos);Los arquitectos, ingenieros y afines investigan y perfeccionan o desarrollan conceptos, teorías y métodos o aplican los conocimientos de su especialización en campos como la arquitectura, la ingeniería o la tecnología o en la determinación de la eficiencia económica de procesos de producción.;"Las tareas desempeñadas por lo común incluyen las siguientes: realizar investigaciones y brindar asesoramiento pertinente, proyectar y dirigir la arquitectura, construcción, mantenimiento y reparación de edificios, obras públicas, ciudades y zonas urbanas o verdes, sistemas de tránsito y otras obras de ingeniería civil o de las demás ramas de la ingeniería, inclusive la ingeniería de minas, química, mecánica, metalúrgica, eléctrica, electrónica y de otros tipos, y sus aplicaciones industriales - estructuras, instalaciones, máquinas y equipos; sistemas y métodos de extracción de petróleo, gas natural y otros minerales o agua, de separación de metales y de refinación y tratamiento; procesos mecánicos, químicos o de otra índole; desarrollo y producción de substancias, materiales y productos, etcétera; estudiar y asesorar acerca de los aspectos tecnológicos de determinados materiales, productos y procesos; estudiar y asesorar acerca de la eficiencia de la producción y de la organización del trabajo; hacer levantamientos topográficos y trabajos de agrimensura en tierra, en el mar y en otras áreas y preparar representaciones cartográficas y planos, así como representaciones gráficas, digitales y pictóricas, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
2141;Ingenieros industriales y de producción;Este grupo primario abarca a los arquitectos, ingenieros y afines no clasificados separadamente en el subgrupo 214: Arquitectos, ingenieros y afines Por ejemplo, habrá que clasificar en este grupo primario a los profesionales dedicados a la investigación, asesoramiento o desarrollo de procedimientos relativos a la eficiencia de la producción y de la organización del trabajo, al cálculo de cantidades y costos de materiales de construcción, y al estudio y asesoramiento pertinente sobre tecnologías de determinados materiales, productos o procesos de fabricación.;"a) consultar con la dirección y el personal de supervisión y asesorar sobre métodos y técnicas de planificación y producción;

b) consultar con la dirección y el personal de supervisión y asesorar sobre métodos para promover la utilización eficiente, eficaz y segura del personal y de los equipos y materiales de producción;

c) formular recomendaciones sobre métodos de trabajo y secuencia de opera- ciones, y vigilar su cumplimiento;

d) formular recomendaciones sobre aspectos de la organización del trabajo, relativos a tiempos y movimientos, y vigilar su cumplimiento;

e) asesorar sobre la disposición más eficiente de las instalaciones;

f) identificar riesgos e implantar procedimientos y dispositivos de seguridad;

g) calcular las cantidades y costos de materiales de construcción y de proyectos y vigilar su cumplimiento;

h) estudiar la tecnología de procesos de fabricación especiales, como los relativos al vidrio, cerámica, materias textiles, productos de cuero y madera o a la imprenta, y asesorar al respecto;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Ingeniero asesor, organización industrial

Ingeniero, estudio de tiempos y movimientos

Ingeniero/industrial, eficiencia

Ingeniero, producción

Tecnólogo, textiles

Verificador, cantidad"
2142;Ingenieros civiles;Los ingenieros civiles proyectan y dirigen la construcción, administran el funcionamiento y el mantenimiento de estructuras de ingeniería civil, investigan y asesoran en la materia o estudian aspectos tecnológicos de determinados materiales y dan asesoramiento pertinente.;"a) realizar investigaciones y desarrollar o perfeccionar teorías y métodos relativos a la ingeniería civil y a las obras públicas;

b) proyectar estructuras - puentes, embalses, muelles, carreteras, aero- puertos, vías férreas, canales, gasoductos, oleoductos, sistemas de eva- cuación de desechos y de defensa contra inundaciones, edificios indus- triales y otras grandes edificaciones - y realizar trabajos de investigación y asesoramiento en la materia;

c) determinar y especificar métodos y materiales de construcción y normas de calidad, y dirigir obras de construcción;

d) establecer sistemas de control para garantizar el funcionamiento eficaz de las construcciones, su seguridad y la protección del medio ambiente;

e) localizar y corregir deficiencias;

f) organizar y dirigir la conservación y refección de las estructuras existentes;

g) estudiar aspectos tecnológicos de determinados materiales y asesorar al respecto;

h) mantener contactos técnicos y celebrar consultas con otros especialistas pertinentes;

i) preparar ponencias e informes de carácter académico o científico; desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Ingeniero civil

Ingeniero civil, construcción/aeropuertos

Ingeniero civil, construcción/carreteras

Ingeniero civil, construcción/edificios

Ingeniero civil, construcción/puentes

Tecnólogo, materiales de construcción"
2143;Ingenieros medioambientales;Este grupo primario abarca a los arquitectos, ingenieros y afines no clasificados separadamente en el subgrupo 214: Arquitectos, ingenieros y afines Por ejemplo, habrá que clasificar en este grupo primario a los profesionales dedicados a la investigación, asesoramiento o desarrollo de procedimientos relativos a la eficiencia de la producción y de la organización del trabajo, al cálculo de cantidades y costos de materiales de construcción, y al estudio y asesoramiento pertinente sobre tecnologías de determinados materiales, productos o procesos de fabricación.;"a) consultar con la dirección y el personal de supervisión y asesorar sobre métodos y técnicas de planificación y producción;

b) consultar con la dirección y el personal de supervisión y asesorar sobre métodos para promover la utilización eficiente, eficaz y segura del personal y de los equipos y materiales de producción;

c) formular recomendaciones sobre métodos de trabajo y secuencia de opera- ciones, y vigilar su cumplimiento;

d) formular recomendaciones sobre aspectos de la organización del trabajo, relativos a tiempos y movimientos, y vigilar su cumplimiento;

e) asesorar sobre la disposición más eficiente de las instalaciones;

f) identificar riesgos e implantar procedimientos y dispositivos de seguridad;

g) calcular las cantidades y costos de materiales de construcción y de proyectos y vigilar su cumplimiento;

h) estudiar la tecnología de procesos de fabricación especiales, como los relativos al vidrio, cerámica, materias textiles, productos de cuero y madera o a la imprenta, y asesorar al respecto;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Ingeniero asesor, organización industrial

Ingeniero, estudio de tiempos y movimientos

Ingeniero/industrial, eficiencia

Ingeniero, producción

Tecnólogo, textiles

Verificador, cantidad"
2144;Ingenieros mecánicos;Los ingenieros mecánicos proyectan y dirigen la producción, el funcionamiento, la conservación y la reparación de máquinas y maquinaria e instalaciones, equipos y sistemas de producción industrial e investigan y asesoran al respecto, o estudian aspectos tecnológicos de determinados materiales, productos o procesos y dan asesoramiento pertinente.;"a) proyectar máquinas y máquinas herramientas para las industrias manufactu- rera, minera y de la construcción y otros fines industriales, así como para la agricultura, y asesorar al respecto;

b) proyectar máquinas de vapor, motores de combustión interna y otras máqui- nas y motores no eléctricos, utilizados para propulsar locomotoras de ferrocarriles, vehículos de transporte por carretera y aeronaves o para hacer funcionar instalaciones industriales o de otro género, y dar asesoramiento pertinente;

c) proyectar sistemas de propulsión para buques, centrales generadoras de energía, sistemas de calefacción y ventilación, mecanismos de gobierno y dirección, bombas y otros equipos mecánicos, y asesorar al respecto;

d) proyectar cascos y superestructuras de buques y otras naves, y asesorar al respecto;

e) proyectar fuselajes, trenes de aterrizaje y otros equipos para aeronaves, y asesorar al respecto;

f) proyectar carrocerías, sistemas de suspensión, frenos y otros elementos de vehículos automóviles, y asesorar al respecto;

g) proyectar sistemas y equipos de calefacción, ventilación y refrigeración, y asesorar al respecto;

h) proyectar instalaciones y equipos mecánicos para la producción, control y utilización de energía nuclear, y asesorar al respecto;

i) proyectar partes o elementos (salvo los eléctricos o electrónicos) de aparatos o productos como procesadores de textos, ordenadores, instrumentos de precisión, cámaras y proyectores, entre otros, y asesorar al respecto;

j) especificar y verificar métodos de producción o instalación y el funciona- miento de maquinaria agrícola y de otras máquinas, mecanismos, herra- mientas, motores, instalaciones o equipos industriales;

k) establecer normas y procedimientos de control para garantizar el eficaz funcionamiento y la seguridad de máquinas, mecanismos, herramientas, motores, dispositivos, instalaciones y equipos industriales;

l) localizar y corregir deficiencias;

m) organizar y dirigir el mantenimiento y reparación de máquinas, mecanismos, herramientas, motores, dispositivos, instalaciones y equipos industriales;

n) estudiar aspectos tecnológicos de determinados materiales, productos o procesos, y asesorar al respecto;

o) mantener contactos técnicos y celebrar consultas con otros especialistas pertinentes;

p) preparar ponencias e informes de carácter académico o científico;

q) desempeñar tareas afines;

r) supervisar a otros trabajadores.";;"Ingeniero agrónomo

Ingeniero mecánico

Ingeniero mecánico, aeronáutica

Ingeniero mecánico, energía nuclear

Ingeniero mecánico, motores marinos

Tecnólogo, mecánica

Oficial maquinista, barco - 3141"
2145;Ingenieros químicos;"Los ingenieros químicos proyectan y dirigen procesos químicos y la producción a escala comercial de diversas sustancias y productos - petróleo crudo, hidrocarburos, alimentos y bebidas, medicamentos, materiales sintéticos y otros; investigan y asesoran al respecto y dirigen el mantenimiento y reparación de las instalaciones y equipos utilizados, o estudian aspectos tecnológicos de determinados materiales, productos o procesos y dan asesoramiento pertinente.";"a) realizar investigaciones y proyectar y desarrollar procedimientos químicos a escala comercial para refinar petróleo bruto y otros líquidos o gases y fabricar sustancias y productos, como derivados del petróleo, explosivos, productos alimenticios, bebidas, medicamentos o materiales sintéticos, y asesorar al respecto;

b) determinar los requisitos que deben reunir las fábricas de productos químicos y elaborar las especificaciones pertinentes;

c) especificar métodos de producción, materiales y normas de calidad, y garantizar que sean conformes a las especificaciones;

d) establecer normas y procedimientos de control para garantizar el eficaz funcionamiento y la seguridad de las operaciones de producción;

e) localizar y corregir deficiencias;

f) organizar y dirigir el mantenimiento y reparación de equipos;

g) estudiar aspectos tecnológicos de determinados materiales, productos o procesos, y asesorar al respecto;

h) mantener contactos técnicos y celebrar consultas con otros especialistas pertinentes;

i) preparar ponencias e informes de carácter académico o científico; desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Ingeniero químico

Ingeniero químico, fabricación

Ingeniero químico, petróleo y gas natural

Tecnólogo, alimentos y bebidas

Tecnólogo, carburantes"
2146;Ingenieros de minas, metalúrgicos y afines;Los ingenieros de minas y metalúrgicos y afines proyectan y supervisan procedimientos para extraer en escala comercial petróleo, gas natural y otros minerales y metales de sus minerales o para crear nuevas aleaciones y materiales cerámicos y de otra índole, e investigan al respecto, o bien estudian la tecnología de determinados materiales, productos o procesos y dan asesoramiento pertinente.;"a) realizar investigaciones y proyectar, desarrollar o perfeccionar métodos para resolver problemas técnicos de la ingeniería de minas o de la extracción de petróleo, gas o agua, y asesorar al respecto;

b) determinar los métodos más eficaces de minería y extracción y el tipo de maquinaria que ha de utilizarse, y planificar la disposición y dirigir la construcción de galerías y pozos;

c) determinar los lugares de perforación e idear métodos para controlar el aflujo de agua, petróleo o gas de los pozos;

d) planificar y dirigir el almacenamiento, tratamiento inicial y transporte de agua, petróleo o gas;

e) establecer procedimientos de seguridad y servicios de primeros auxilios, sobre todo bajo tierra;

f) realizar investigaciones, desarrollar métodos para la extracción de metales de sus minerales y asesorar sobre su aplicación;

g) estudiar las propiedades de metales y aleaciones, crear nuevas aleaciones, supervisar aspectos técnicos de la fabricación y tratamiento de metales y aleaciones, y asesorar al respecto;

h) estudiar la tecnología de determinados materiales, productos o procesos, y asesorar al respecto;

i) mantener contactos técnicos y celebrar consultas con otros especialistas pertinentes, principalmente geólogos y geofísicos;

j) preparar ponencias e informes de carácter académico o científico;

k) desempeñar tareas afines;

l) supervisar a otros trabajadores.";;"Ingeniero metalúrgico, producción y afino/metales

Ingeniero, minas

Ingeniero, minas/carbón

Ingeniero, minas/metales

Ingeniero, minas/petróleo y gas natural

Tecnólogo, metalurgia/producción y afino (metales)"
