competencias;comp_original;parent_cod;cod
desempeñar tarea afines;Desempeñar tareas afines;c02200;c0220041
desempeñar tarea contable alcance limitado;Desempeñar otras tareas contables de alcance limitado;c02200;c0220042
desempeño rol analista programador base dato competencia analista funcional levantar requerimiento usuario revisar proceso funcionalidade documentacion requerimiento autogestion desarrollo cambio nueva funcionalidade requisito dominio base dato sql server ( superior ) conocimiento experiencia integration service ( ssi ) conocimiento experiencia reporting service ( ssr ) conocimiento experiencia vb conocimiento experiencia net ( framework superior ) conocimiento experiencia acces conocimiento experiencia metodologia agile ( scrum ) conocimiento bitbucket beneficio horario laboral lune vierne capacitacion continua trabajo remoto excelente clima laboral beneficio completo ( planilla regimen general ) segun ley primer dia labore empresa peruana año experiencia ofreciendo solucione basada tecnologia informacion desarrollo sostenido sector empresarial sociedad compromiso ofrecer cliente solucione valor agregado;Desempeño de rol de analista programador de base de datos con competencias de analista funcional levantar requerimientos del usuario revisar procesos y funcionalidades documentacion de requerimientos autogestion desarrollo de cambios yo nuevas funcionalidades requisitos dominio en base de datos sql server ( o superior) conocimiento y experiencia en integration services (ssis) conocimiento y experiencia en reporting services (ssrs) conocimiento y experiencia en vb  conocimiento y experiencia en net (framework  o superior) conocimiento y experiencia en access conocimiento y experiencia en metodologias agiles (scrum) conocimientos sobre bitbucket beneficios horario laboral de lunes a viernes capacitacion continua trabajo remoto excelente clima laboral beneficios completos (planilla regimen general) segun ley desde el primer dia de labores  somos una empresa peruana con  años de experiencia ofreciendo soluciones basadas en tecnologia de la informacion para el desarrollo sostenido del sector empresarial de nuestra sociedad tenemos el compromiso de ofrecer a nuestros clientes soluciones de valor agregado;c00111;c0011117
despachar correspondencia habitual iniciativa propia;Despachar la correspondencia habitual por iniciativa propia;c02202;c0220228
desplazar transcribir reproducir informacione dato computadorizado objeto poder conservar parte sistema informático copia material original posibilidad deterioro pérdida ateniéndose ello procedimiento establecido fin;Desplazar transcribir o reproducir informaciones y datos computadorizados con objeto de poder conservar en otra parte del sistema informático copias del material original sin posibilidad de deterioro o pérdida ateniéndose para ello a los procedimientos establecidos con ese fin;c02202;c0220229
detectar si posible impedir deficiencia funcionamiento robot industriale mediante control cuidadoso sistemático;Detectar y si es posible impedir deficiencias de funcionamiento de los robots industriales mediante su control cuidadoso y sistemático;c00044;c0004422
determinar calidad valor materia prima biene inmueble equipo industriale efecto personale uso doméstico obra arte piedra preciosa objeto ofrecido venta asegurar;Determinar la calidad o el valor de materias primas bienes inmuebles equipos industriales efectos personales y de uso doméstico obras de arte piedras preciosas y otros objetos ofrecidos en venta o que hay que asegurar;c00111;c0011118
determinar consulta creadore analista sistema informá- tico especialista materia trate objetivo perseguido distinto programa información u resultado exigido naturaleza fuente dato introducir ordenar comprobacione controle necesarios;Determinar en consulta con los creadores y analistas de sistemas informá- ticos y los especialistas en las materias de que se trate los objetivos perseguidos con distintos programas la información u otros resultados exigidos la naturaleza y fuentes de los datos que habrá que introducir y ordenar y las comprobaciones y otros controles necesarios;c02202;c0220230
determinar derecho obligacione parte interesada caso sometido juicio jurado informar miembro determinada regia cuestione derecho;Determinar los derechos y obligaciones de las partes interesadas y en los casos sometidos a juicio por jurados informar a sus miembros sobre determinadas regias o cuestiones de derecho;c02202;c0220231
determinar especificar método materiale construcción norma calidad dirigir obra construcción;Determinar y especificar métodos y materiales de construcción y normas de calidad y dirigir obras de construcción;c00025;c0002529
determinar lugare perforación idear método controlar aflujo agua petróleo ga pozos;Determinar los lugares de perforación e idear métodos para controlar el aflujo de agua petróleo o gas de los pozos;c00025;c0002530
determinar mediante encuesta causa cualquier defunción atribuya evidentemente causa naturales;Determinar mediante encuesta las causas de cualquier defunción que no se atribuya evidentemente a causas naturales;c02202;c0220232
determinar método eficace minería extracción tipo maquinaria utilizarse planificar disposición dirigir construcción galería pozos;Determinar los métodos más eficaces de minería y extracción y el tipo de maquinaria que ha de utilizarse y planificar la disposición y dirigir la construcción de galerías y pozos;c00025;c0002531
determinar requisito deben reunir fábrica producto químico elaborar especificacione pertinentes;Determinar los requisitos que deben reunir las fábricas de productos químicos y elaborar las especificaciones pertinentes;c02200;c0220043
difundir informacione idear aplicar método organización dirección gestión empresa administración observancia leyes;difundir informaciones e idear o aplicar métodos sobre organización dirección y gestión de empresas o administración y observancia de las leyes;c00044;c0004423
diploma post titulo experiencia minima año cargo similare experiencia labore gerenciale manejo equipo ingle avanzado ( oral escrito ) flexibilidad disponibilidad viajar dominio conocimiento plataforma sap conocimiento python;Diploma o post titulo experiencia minima de  años en cargos similares experiencia en labores gerenciales y manejo de equipos ingles avanzado (oral y escrito) flexibilidad y disponibilidad para viajar dominio y conocimiento de plataforma sap conocimiento de python;c00111;c0011119
dirección orientación espirituale preparación ponencia informe libro carácter académico científico cultural . ademá pueden incluir supervisión trabajadore .;La dirección y orientación espirituales y la preparación de ponencias informes y libros de carácter académico científico o cultural. además pueden incluir la supervisión de otros trabajadores.;c02200;c0220044
dirigen operacione industriale programarla cumplan funcione específica . pueden recibir orientación directore empresa profesionale científico intelectuale . tarea pueden incluir supervisión trabajadore .;Que dirigen operaciones industriales y programarlas para que cumplan sus funciones específicas. pueden recibir orientación de directores de empresa o de profesionales científicos e intelectuales. sus tareas pueden incluir la supervisión de otros trabajadores.;c02200;c0220045
dirigir efectuar clasificación catalogación coleccione existente museo galería arte organizar exposiciones;Dirigir o efectuar la clasificación y catalogación de las colecciones existentes en museos y galerías de arte y organizar exposiciones;c02200;c0220046
dirigir operacione cotidiana analizar resultados;Dirigir las operaciones cotidianas y analizar sus resultados;c11333;c113330
dirigir realizar preparación índice bibliografía copia microfilme referencia medio acceso material reunido ponerlo disposición usuarios;Dirigir o realizar la preparación de índices bibliografías copias en microfilme y otras referencias y medios de acceso al material reunido y ponerlos a disposición de los usuarios;c02200;c0220047
discutir cliente requisito condicione compra venta asesorarlo respecto;Discutir con los clientes los requisitos y condiciones de compra o venta y asesorarlos al respecto;c02202;c0220233
diseñar especificar funcionalmente solucion propuesta base conocimiento adquirido generar documento graficar proceso base relevado elaboracion ejecucion prueba funcionale requisito bachiller titulado ingenieria sistemas;Diseñar y especificar funcionalmente la solucion propuesta en base al conocimiento adquirido generar documentos y graficar procesos en base a lo relevado elaboracion y ejecucion de pruebas funcionales requisitos  bachiller o titulado en ingenieria de sistemas;c00111;c0011120
diseño industrial;Diseño industrial;c00111;c0011121
dispuesto compartir informacion conocimiento compañero trabajo escucha activa;Estando dispuesto a compartir informacion y conocimientos con sus compañeros de trabajo escucha activa;c00111;c0011122
efectuar control técnico cámara cinematográfica vídeo equipo grabar ajustar armonizar imágene sonido;Efectuar el control técnico de cámaras cinematográficas y de vídeo y otros equipos para grabar ajustar y armonizar imágenes y sonido;c00025;c0002532
efectuar cálculo necesarios;Efectuar los cálculos necesarios;c02200;c0220048
efectuar empalme cable aéreo subterráneos;Efectuar los empalmes de cables aéreos y subterráneos;c00025;c0002533
efectuar experimento ensayo análisi investigar composición química energía transformacione química diversa sustancia materiale producto naturale artificiale sintéticos;Efectuar experimentos ensayos y análisis para investigar la composición química la energía y las transformaciones químicas de diversas sustancias materiales y productos naturales artificiales o sintéticos;c00025;c0002534
efectuar levantamiento topográfico fondo mar lago lecho río delinear contorno submarino marcando emplazamiento exacto diverso punto característico dibujando plano mapa fin utilizarlo particular determinar dónde existen agua canale navegable planificar construcción estructura marinas;Efectuar levantamientos topográficos del fondo del mar y de lagos y del lecho de ríos y delinear contornos submarinos marcando el emplazamiento exacto de diversos puntos característicos y dibujando planos y mapas a fin de utilizarlos en particular para determinar dónde existen aguas y canales navegables y planificar la construcción de estructuras marinas;c00025;c0002535
efectuar levantamiento topográfico mina delinear contorno subsuelo marcando emplazamiento exacto diverso punto característico dibujando plano mapa establecer dirección extensión explotación minera;Efectuar levantamientos topográficos de minas y delinear los contornos del subsuelo marcando el emplazamiento exacto de diversos puntos característicos y dibujando planos y mapas para establecer la dirección y extensión de la explotación minera;c00025;c0002536
efectuar levantamiento topográfico superficie tierra medirla describirla fine diverso trazado mapa preparación plano construcción fijación límite propiedades;Efectuar levantamientos topográficos de superficies de tierra y medirlas y describirlas con fines diversos como el trazado de mapas la preparación de planos de construcción o la fijación de límites de propiedades;c00025;c0002537
efectuar pago cobranza relacionado conducción negocios;Efectuar pagos y cobranzas relacionados con la conducción de los negocios;c02200;c0220049
efectuar pago cobranzas;Efectuar pagos y cobranzas;c02200;c0220050
efectuar trabajo artesanía;Efectuar trabajos de artesanía;c02200;c0220051
ejecutar tarea similare organizacione intergubernamentales;Ejecutar tareas similares en organizaciones intergubernamentales;c02200;c0220052
ejercer funcione similare cuenta partido político sindicato u organización especializada;Ejercer funciones similares por cuenta de un partido político un sindicato u otra organización especializada;c02200;c0220053
ejercer funcione similare cuenta partido político sindicato u organización especializada : realizar negociacione nombre dicho organismo miembro cliente . tarea pueden incluir supervisión trabajadore .;Ejercer funciones similares por cuenta de un partido político de un sindicato u otra organización especializada: realizar negociaciones en nombre de dichos organismos de sus miembros o clientes. sus tareas pueden incluir la supervisión de otros trabajadores.;c02200;c0220054
elaborar aplicar coordinar política actividad empresa organización departamento servicio interno . ademá pueden incluir supervisión trabajadore .;Elaborar aplicar y coordinar la política y la actividad de una empresa o de una organización o de sus departamentos y servicios internos. además pueden incluir la supervisión de otros trabajadores.;c02200;c0220055
elaborar diversa clase pan pastele producto base harina;Elaborar diversas clases de pan pasteles y otros productos a base de harina;c00025;c0002538
elaborar leye reglamentos;Elaborar leyes y reglamentos;c02202;c0220234
elaborar procedimiento control calidad fabricante usuarios;Elaborar procedimientos de control de calidad para fabricantes o usuarios;c00111;c0011123
emplazar ajustar operar cámara cine televisión vídeo así cámara objetivo microscópico aparato grabación imágene fine especiale comprendida fotografía aérea u fines;Emplazar ajustar y operar cámaras de cine televisión y vídeo así como cámaras de objetivo microscópico y otros aparatos de grabación de imágenes para fines especiales comprendida la fotografía aérea u otros fines;c00025;c0002539
empleado grupo operational excellence ( hq ) grupo experto funcionale ( hse qaqc mantenimiento compra cadena suministro manufactura ) grupo bpm ( hq busines proces management ) v relacione externa clave cliente lidere excelencia operacional compañia world clas entrenadorescouche externo proveedore suministro productivo vi perfil puesto formacion academica licenciatura ingenieria industrial;Y empleados   grupo de operational excellence (hq)   grupo de expertos funcionales (hse qaqc mantenimiento compras cadena de suministro manufactura)   grupo de bpm (hq business process management)  v relaciones externas clave   clientes   lideres de excelencia operacional de otras compañias world class   entrenadorescouches externos   proveedores de suministros no productivos  vi perfil del puesto   formacion academica licenciatura en ingenieria industrial;c00111;c0011124
emprender llevara cabo labore técnica relacionada investigación aplicación concepto principio método materia ciencia exacta incluida matemática ingeniería tecnología;Emprender y llevara cabo labores técnicas relacionadas con la investigación y la aplicación de conceptos principios y métodos en materia de ciencias exactas incluidas las matemáticas la ingeniería y la tecnología;c02200;c0220056
emprender realizar operacione técnica distinta rama ciencia física química ingeniería informática;emprender y realizar operaciones técnicas en distintas ramas de las ciencias físicas y químicas la ingeniería y la informática;c02200;c0220057
encargarse caja llevar registro pago cobranza relacionado conducción negocios;Encargarse de la caja y llevar registros de los pagos y cobranzas relacionados con la conducción de los negocios;c02202;c0220235
encontrar trabajo postulante mediante pago comisión trabajadore empleadore interesados;Encontrar trabajo para los postulantes mediante el pago de una comisión por los trabajadores o empleadores interesados;c00044;c0004424
enseñanza persona física mentalmente disminuidas;La enseñanza de personas física y mentalmente disminuidas;c02202;c0220236
enseñar asignatura ejemplo persona sorda ciega mediante uso sistema escritura braille aprendizaje método lectura labial u técnica método apropiado preparar informe escolare docente . tarea pueden incluir supervisión trabajadore .;Enseñar una o más asignaturas por ejemplo a personas sordas o ciegas mediante el uso del sistema de escritura braille el aprendizaje del método de lectura labial u otras técnicas o métodos apropiados y preparar informes escolares o docentes. sus tareas pueden incluir la supervisión de otros trabajadores.;c02202;c0220237
enseñar diversa materia enseñanza primaria;Enseñar diversas materias de enseñanza primaria;c02202;c0220238
enseñar propiedade venta alquiler eventuale compradore arrendatario explicarle condicione venta alquiler arrendamiento;Enseñar las propiedades en venta o en alquiler a eventuales compradores o arrendatarios y explicarles las condiciones de venta de alquiler o de arrendamiento;c02200;c0220058
enseñar sistemáticamente materia pilotaje aeronave conducción vehículo automotore . tarea pueden incluir supervisión trabajadore .;Enseñar sistemáticamente otras materias como el pilotaje de aeronaves o la conducción de vehículos automotores. sus tareas pueden incluir la supervisión de otros trabajadores.;c00025;c0002540
escribir especificacione programa preparar informe técnico manuale instruccione método funcionamiento mantenimiento configuracione computadora programa soporte lógicos;Escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;c02202;c0220239
escribir nombre persona analfabeta necesiten ayuda;Escribir en nombre de personas analfabetas o que necesiten ayuda;c02202;c0220240
escribir sustitución persona analfabeta dificultade escritura;Escribir en sustitución de personas analfabetas o con dificultades de escritura;c02202;c0220241
especificamente atencion cliente manejo excel power bi deseable conocimiento herramienta ticketeria ingle intermedio ( lectura escrito ) ntt enorgullece ser empleador ofrece igualdad oportunidade cultura global acepta diversidad comprometido proporcionar entorno libre discriminacion acoso injusto discriminamo edad;Especificamente con atencion al cliente manejo de excel y power bi deseable conocimiento en herramientas de ticketeria ingles intermedio (lectura y escrito)        ntt se enorgullece de ser un empleador que ofrece igualdad de oportunidades con una cultura global que acepta la diversidad estamos comprometidos a proporcionar un entorno libre de discriminacion y acoso injustos no discriminamos por edad;c00111;c0011125
especificar método instalación utilización materiale norma calidad dirigir caso necesario parte trabajo pertinente edificio artefacto industriale índole;Especificar métodos de instalación o utilización materiales y normas de calidad y dirigir en caso necesario parte de los trabajos pertinentes en edificios o artefactos industriales o de otra índole;c00025;c0002541
especificar método producción instalación materiale norma calidad dirigir trabajo producción instalación sistema equipo electrónico telecomunicaciones;Especificar métodos de producción o de instalación materiales y normas de calidad y dirigir los trabajos de producción o instalación de sistemas y equipos electrónicos o de telecomunicaciones;c00025;c0002542
especificar método producción materiale norma calidad garantizar conforme especificaciones;Especificar métodos de producción materiales y normas de calidad y garantizar que sean conformes a las especificaciones;c00025;c0002543
especificar verificar método producción instalación funciona- miento maquinaria agrícola máquina mecanismo herra- mienta motore instalacione equipo industriales;Especificar y verificar métodos de producción o instalación y el funciona- miento de maquinaria agrícola y de otras máquinas mecanismos herra- mientas motores instalaciones o equipos industriales;c00025;c0002544
establecer dirigir procedimiento operativo administrativos;Establecer y dirigir los procedimientos operativos y administrativos;c02200;c0220059
establecer firmar manifiestos;Establecer y firmar manifiestos;c02202;c0220242
establecer mantener contacto calidad intermediario com- pradore vendedore producto básico biene servicios;Establecer y mantener contacto en calidad de intermediarios entre com- pradores y vendedores de productos básicos y otros bienes y servicios;c02202;c0220243
establecer norma procedimiento control garantizar eficaz funcionamiento seguridad máquina mecanismo herramienta motore dispositivo instalacione equipo industriales;Establecer normas y procedimientos de control para garantizar el eficaz funcionamiento y la seguridad de máquinas mecanismos herramientas motores dispositivos instalaciones y equipos industriales;c02200;c0220060
establecer norma procedimiento control garantizar eficaz funcionamiento seguridad operacione producción;Establecer normas y procedimientos de control para garantizar el eficaz funcionamiento y la seguridad de las operaciones de producción;c02200;c0220061
establecer norma procedimiento control garantizar eficaz funcionamiento seguridad sistema motore equipo electrónicos;Establecer normas y procedimientos de control para garantizar el eficaz funcionamiento y la seguridad de sistemas motores y equipos electrónicos;c02200;c0220062
establecer norma procedimiento control garantizar eficaz funcionamiento seguridad sistema producción distribución motore equipo eléctricos;Establecer normas y procedimientos de control para garantizar el eficaz funcionamiento y la seguridad de sistemas de producción y distribución motores y equipos eléctricos;c02200;c0220063
establecer procedimiento seguridad servicio primero auxilio bajo tierra;Establecer procedimientos de seguridad y servicios de primeros auxilios sobre todo bajo tierra;c02200;c0220064
establecer sistema control garantizar funcionamiento eficaz construccione seguridad protección medio ambiente;Establecer sistemas de control para garantizar el funcionamiento eficaz de las construcciones su seguridad y la protección del medio ambiente;c00025;c0002545
estatuir cuestione procedimiento;Estatuir sobre cuestiones de procedimiento;c02202;c0220244
estimar peso tamaño volumen tierra composición estructura interna estudiar naturaleza actividad volcane glaciare terremotos;Estimar el peso tamaño y volumen de la tierra y su composición y estructura internas y estudiar la naturaleza y actividad de los volcanes glaciares y terremotos;c00025;c0002546
estructura comercial objetivo equipo rol personal contribuir cultura intercambio conocimiento ey participando foros;Estructura comercial y objetivos de equipo y rol personal contribuir a la cultura de intercambio de conocimiento de ey participando de foros;c00111;c0011126
estudiar analizar tarea realizada establecimiento distinto medio incluida entrevista trabajadore supervisore dirección redactar sistematizar descripcione detallada tarea puesto trabajo partir dato obtenidos;Estudiar y analizar las tareas realizadas en un establecimiento por distintos medios incluidas entrevistas con los trabajadores los supervisores y la dirección y redactar y sistematizar descripciones detalladas de las tareas o de los puestos de trabajo a partir de los datos obtenidos;c00044;c0004425
estudiar asesorar acerca aspecto tecnológico determinado materiale producto procesos;Estudiar y asesorar acerca de los aspectos tecnológicos de determinados materiales productos y procesos;c00044;c0004426
estudiar asesorar acerca eficiencia producción organización trabajo;Estudiar y asesorar acerca de la eficiencia de la producción y de la organización del trabajo;c02200;c0220065
estudiar aspecto financiero legale organización comercialización índole relacionado creación marcha negocio asesorar respecto;Estudiar aspectos financieros y legales de organización de comercialización y de otra índole relacionados con la creación y marcha de un negocio y asesorar al respecto;c00044;c0004427
estudiar aspecto tecnológico determinado materiale asesorar respecto;Estudiar aspectos tecnológicos de determinados materiales y asesorar al respecto;c00044;c0004428
estudiar aspecto tecnológico determinado materiale producto proceso asesorar respecto;Estudiar aspectos tecnológicos de determinados materiales productos o procesos y asesorar al respecto;c00044;c0004429
estudiar aspecto técnico estético económico producción mapa asesorar respecto;Estudiar los aspectos técnicos estéticos y económicos de la producción de mapas y asesorar al respecto;c00044;c0004430
estudiar composición estructura corteza terrestre analizando roca minerale resto fósile elemento fin descubrir proceso determinado evolución tierra vida terrestre establecer naturaleza cronología formacione geológicas;Estudiar la composición y estructura de la corteza terrestre analizando rocas minerales restos fósiles y otros elementos con el fin de descubrir los procesos que han determinado la evolución de la tierra y la vida terrestre y establecer la naturaleza y cronología de las formaciones geológicas;c00025;c0002547
estudiar cuestione enumerada precedente apartado aspecto análisi tarea ocupacione relación esfera administración investigación planificación formación mano obra información orientación profesionale asesorar respecto;Estudiar las cuestiones enumeradas en los precedentes apartados y otros aspectos de los análisis de tareas y ocupaciones en relación con esferas como la administración investigación planificación y formación de mano de obra e información y orientación profesionales y asesorar al respecto;c02202;c0220245
estudiar enfermedade hombre animale plantas;Estudiar las enfermedades del hombre de los animales y de las plantas;c00044;c0004431
estudiar evaluar organizar coleccionar conservar materiale valioso importancia histórica documento oficiale privado fotografía grabacione sonora películas;Estudiar evaluar organizar coleccionar y conservar materiales valiosos y de importancia histórica como documentos oficiales y privados fotografías grabaciones sonoras y películas;c00044;c0004432
estudiar interpretar principio economía doméstica gestión brindar asesoramiento pertinente fin promover bienestar familia consumo artículo doméstico hogare producción nuevo biene servicios;Estudiar e interpretar los principios de la economía doméstica y de la gestión y brindar asesoramiento pertinente a fin de promover el bienestar de las familias el consumo de artículos domésticos en los hogares o la producción de nuevos bienes o servicios;c00044;c0004433
estudiar llevar cabo programa relacione pública fin mejorar información comprensión público acerca empresa estableci- miento trate;Estudiar y llevar a cabo programas de relaciones públicas a fin de mejorar la información y comprensión del público acerca de la empresa o estableci- miento de que se trate;c02200;c0220066
estudiar medir fenómeno óptico acústico atmósfera;Estudiar y medir fenómenos ópticos y acústicos de la atmósfera;c00025;c0002548
estudiar medir fuerza sísmica gravitatoria eléctrica térmica magnética afectan tierra;Estudiar y medir las fuerzas sísmicas gravitatorias eléctricas térmicas y magnéticas que afectan a la tierra;c00025;c0002549
estudiar medir propiedade física mare atmósfera interrelacione caso intercambio energía térmica;Estudiar y medir las propiedades físicas de los mares y de la atmósfera y sus interrelaciones como en el caso del intercambio de energía térmica;c00025;c0002550
estudiar oportunidade empleo posibilidade carrera profesional necesidade educación instrucción formación complementaria planteen asesorar persona interesadas;Estudiar las oportunidades de empleo posibilidades de carrera profesional y necesidades de educación instrucción o formación complementaria que se planteen y asesorar a las personas interesadas;c00044;c0004434
estudiar propiedade metale aleacione crear nueva aleacione supervisar aspecto técnico fabricación tratamiento metale aleacione asesorar respecto;Estudiar las propiedades de metales y aleaciones crear nuevas aleaciones supervisar aspectos técnicos de la fabricación y tratamiento de metales y aleaciones y asesorar al respecto;c00044;c0004435
estudiar tecnología determinado materiale producto proceso asesorar respecto;Estudiar la tecnología de determinados materiales productos o procesos y asesorar al respecto;c00044;c0004436
estudiar tecnología determinado materiale producto proceso eficiencia producción organización trabajo asesorar respecto;Estudiar la tecnología de determinados materiales productos y procesos y la eficiencia de la producción y de la organización del trabajo y asesorar al respecto;c00044;c0004437
estudiar tecnología proceso fabricación especiale relativo vidrio cerámica materia textile producto cuero madera imprenta asesorar respecto;Estudiar la tecnología de procesos de fabricación especiales como los relativos al vidrio cerámica materias textiles productos de cuero y madera o a la imprenta y asesorar al respecto;c00044;c0004438
etc conocimiento qlik sense necesario visualizar informacion analitica compartir parte interesada requisito año experiencia uso estadisticas;Etc el conocimiento de qlik sense es necesario para visualizar la informacion analitica para compartir con las partes interesadas     requisitos  entre  y  años de experiencia en el uso de estadisticas;c00111;c0011127
etc segun corresponda necesitara ciudadania ciudadanoa peru ciudadanoa paise miembro permiso legal residencia trabajar peru consanguineidad tener familiare ( cuarto grado consanguinidad segundo grado afinidad incluido conyugue ) trabajando grupo bid educacion bachillerato licenciatura ciencia computacion conocimiento m windows;Etc segun corresponda  lo que necesitaras  ciudadania eres ciudadanoa de peru o ciudadanoa de uno de nuestros  paises miembros con permiso legal o de residencia para trabajar en peru  consanguineidad no tener familiares (hasta cuarto grado de consanguinidad y segundo grado de afinidad incluido conyugue) trabajando en el grupo bid  educacion  bachillerato o licenciatura en ciencias de la computacion conocimientos en ms windows ;c00111;c0011128
etc trabajar soporte tecnico proveedor cuestione tecnica defecto coordinar area implementacion coordinacion soporte area testing confeccion documentacion interactuar equipo soporte infraestructura requisito valoraremo manejo herramienta tecnica conocimiento funcional operacione bancarias;Etc trabajar con el soporte tecnico del proveedor en cuestiones tecnicas y defectos coordinar con las areas de implementacion coordinacion y soporte con area de testing confeccion de documentacion interactuar con el equipo de soporte de infraestructura requisitos  valoraremos  manejo de herramientas tecnicas conocimiento funcional en operaciones bancarias y;c00111;c0011129
evaluar operacione resultado obtenido informar respecto directorio órgano directivo;Evaluar las operaciones y los resultados obtenidos e informar al respecto al directorio o al órgano directivo;c00044;c0004439
evaluar organizar ordenar ajustar interpretar dato estadístico preparar ponencia informe científico . tarea pueden incluir supervisión trabajadore .;Evaluar organizar ordenar ajustar e interpretar datos estadísticos y preparar ponencias e informes científicos. sus tareas pueden incluir la supervisión de otros trabajadores.;c00044;c0004440
evaluar presupuesto previsione utilidade informar respecto;Evaluar presupuestos y previsiones de utilidades o informar al respecto;c02200;c0220067
evaluar responsabilidade compañía seguro reaseguro pérdida cubierta pólizas;Evaluar las responsabilidades de compañías de seguros y reaseguros por pérdidas cubiertas por sus pólizas;c02200;c0220068
evaluar resultado investigacione experimento extraer conclusiones;Evaluar los resultados de investigaciones y experimentos y extraer conclusiones;c00044;c0004441
evaluar situación financiera empresa u organización;Evaluar la situación financiera de la empresa u organización;c02202;c0220246
examinar circunstancia concurren conflicto delito denunciado fin determinar hecho definir consecuencia jurídicas;Examinar las circunstancias que concurren en conflictos o delitos denunciados a fin de determinar los hechos y definir sus consecuencias jurídicas;c02202;c0220247
examinar resumir acta documento expediente jurídicos;Examinar y resumir actas documentos y expedientes jurídicos;c02202;c0220248
examinar solicitude convocación reunione cita determinar sistemáticamente fecha tale reunione viaje organizar una jefe unidad miembro personal;Examinar solicitudes de convocación de reuniones y citas determinar sistemáticamente las fechas de tales reuniones y viajes y organizar unas y otros para el jefe de la unidad y otros miembros del personal;c02202;c0220249
examinar tomar disposicione pertinente hacer examinar docu- mento jurídico texto pertinentes;Examinar o tomar las disposiciones pertinentes para hacer examinar docu- mentos jurídicos y otros textos pertinentes;c02202;c0220250
explorar tierra mare trazar plano carta mapa preparar ponencia informe científico . tarea pueden incluir supervisión trabajadore .;Explorar tierras y mares y trazar planos cartas y mapas y preparar ponencias e informes científicos. sus tareas pueden incluir la supervisión de otros trabajadores.;c00025;c0002551
fabricar decorar reparar mueble madera;Fabricar decorar y reparar muebles de madera;c00025;c0002552
fabricar instrumento precisión alhaja artículo hogar artículo metale precioso pieza cerámica artículo vidrio producto similares;Fabricar instrumentos de precisión alhajas artículos para el hogar y otros artículos de metales preciosos piezas de cerámica artículos de vidrio y productos similares;c00025;c0002553
fabricar máquina herramienta equipo artículo metálicos;Fabricar máquinas herramientas equipos y otros artículos metálicos;c00025;c0002554
fijar lista precio porcentaje descuento plazo entrega presupuesto campaña promoción venta méto- do venta incentivo campaña especiales;Fijar las listas de precios los porcentajes de descuento y los plazos de entrega los presupuestos para campañas de promoción de ventas los méto- dos de venta incentivos y campañas especiales;c02200;c0220069
finanza experiencia labore contablesfinanciera valorable experiencia ma año area contable conocimiento alto paquete office concreto excel ofrecemo contrato indefinido trabajar entorno dinamico excelente ambiente laboral acceder plan formativo primer nivel gracia universidad corporativa prosegur disponer teletrabajo prestacione superiore ley disfrutar programa global bienestar si quiere convertirte autentico prosegurer;Finanzas   experiencia en labores contablesfinancieras   valorable la experiencia de mas de  años con areas contables   conocimientos altos del paquete office y en concreto de excel  que te ofrecemos   contrato indefinido   trabajar en un entorno dinamico con un excelente ambiente laboral   acceder a un plan formativo de primer nivel gracias a la universidad corporativa de prosegur   disponer de teletrabajo   prestaciones superiores a la ley   disfrutar de nuestro programa global de bienestar  si quieres convertirte en un autentico prosegurer;c00111;c0011130
formulación desarrollo concepto teoría método asesoramiento aplicación conocimiento materia ciencia exacta incluida matemática arquitectura ingeniería tecnología;Formulación y desarrollo de conceptos teorías y métodos y asesoramiento o aplicación de los conocimientos en materia de ciencias exactas incluidas las matemáticas la arquitectura la ingeniería y la tecnología;c00044;c0004442
formular recomendacione aspecto organización trabajo relativo tiempo movimiento vigilar cumplimiento;Formular recomendaciones sobre aspectos de la organización del trabajo relativos a tiempos y movimientos y vigilar su cumplimiento;c00044;c0004443
formular recomendacione método trabajo secuencia opera- cione vigilar cumplimiento;Formular recomendaciones sobre métodos de trabajo y secuencia de opera- ciones y vigilar su cumplimiento;c00044;c0004444
fotografiar filmar;fotografiar y filmar;c00025;c0002555
funcione principale mantenimiento reparacion computadora laptop conocimiento configuracion rede lan;Funciones principales  mantenimiento y reparacion de computadoras  laptops conocimiento sobre configuracion de redes lan;c00025;c0002556
garantizar confiabilidad informacion escolaridad minima bachillerato tecnico ing sistema experiencia mese base dato paqueteria office conocimiento tecnico lenguaje sql server base dato deseable conocimiento ax indispensable podemo capacitar generar reporte estadistico erp asegurar confiabilidad dato maestros;Y garantizar la confiabilidad de la informacion   escolaridad minima bachillerato tecnico o ing en sistemas  experiencia  meses en base de datos paqueteria office conocimiento tecnico de lenguajes  sql server y otros en base de datos deseable conocimiento de ax no es indispensable te podemos capacitar generar reportes estadisticos en el erp asegurar la confiabilidad de los datos maestros;c00111;c0011131
garantizar contrato trabajo cumplan norma legale vigente firmar tale contrato así requiera;Garantizar que los contratos de trabajo cumplan las normas legales vigentes y firmar tales contratos cuando así se requiera;c02200;c0220070
